,Primacy Agency,PWSID,PWS Name,Reported System Size,Service Lines,1. Service lines that contain any lead pipe,2. Service lines that do not contain any lead pipe but have lead connectors,3a. Service lines that contain galvanized pipe and were previously downstream from a lead source,3b. Service lines that contain galvanized pipe that have never been downstream from any lead source,4a. Service lines that do not contain any lead pipe or galvanized pipe and that do not have lead connectors,4b. Service lines for which the material makeup of the service line and of the connector are not known,Not reported,Total,COUNTY_FIPS,STATE_FIPS,FIPS
1906,MS,MS0300156,WEST JACKSON CO UTILITY DIST,Medium,8981,0,0.0,0,273,8708.0,0,0,8981,300,28,28300
1907,MS,MS0300166,JACKSON CO UTILITY AUTHORITY-EAST,Medium,710,100,100.0,300,100,100.0,10,0,710,300,28,28300
1908,MS,MS0340019,SOUTHWEST JONES W/A-NORTH,Medium,1916,0,0.0,0,0,0.0,0,1916,1916,340,28,28340
1909,MS,MS0370001,ARNOLD LINE WATER ASSOCIATION,Medium,2460,0,0.0,0,0,2460.0,0,0,2460,370,28,28370
1910,MS,MS0380001,CLARKDALE WATER ASSN # 1,Medium,1795,0,0.0,0,0,1436.0,359,0,1795,380,28,28380
1911,MS,MS0380005,CITY OF MERIDIAN,Medium,21690,0,0.0,0,0,0.0,0,21690,21690,380,28,28380
1912,MS,MS0380006,"NORTH LAUDERDALE W/A, INC",Medium,3962,0,0.0,0,0,0.0,0,3962,3962,380,28,28380
1913,MS,MS0400002,EDINBURG DOMESTIC WATER ASSOCIATION,Small,526,0,0.0,0,0,526.0,0,0,526,400,28,28400
1914,MS,MS0400004,GOSHEN WATER ASSOCIATION,Small,134,0,0.0,0,0,0.0,0,134,134,400,28,28400
1915,MS,MS0400005,LENA WATER ASSOCIATION,Small,100,0,0.0,0,0,100.0,0,0,100,400,28,28400
1916,MS,MS0400008,SOUTHWEST LEAKE WATER ASSN,Small,827,0,0.0,0,0,827.0,0,0,827,400,28,28400
1917,MS,MS0400011,TOWN OF WALNUT GROVE,Small,274,0,0.0,0,0,274.0,0,0,274,400,28,28400
1918,MS,MS0400018,FREENY W/A #2-ROSEBUD SYSTEM,Small,995,0,0.0,0,0,995.0,0,0,995,400,28,28400
1919,MS,MS0410007,MOOREVILLE-RICHMOND W/A #1,Medium,1450,0,0.0,0,0,0.0,1450,0,1450,410,28,28410
1920,MS,MS0410015,CITY OF TUPELO,Medium,16254,0,0.0,0,0,0.0,16254,0,16254,410,28,28410
1921,MS,MS0420010,EAST LEFLORE WATER & SEWER DST,Medium,2132,0,0.0,0,0,0.0,2132,0,2132,420,28,28420
1922,MS,MS0440003,COLUMBUS LIGHT & WATER,Medium,12253,0,0.0,0,0,0.0,12253,0,12253,440,28,28440
1923,MS,MS0440080,EAST LOWNDES W/A #2-HUCKLEBERRY,Medium,2725,0,0.0,0,0,4.0,2721,0,2725,440,28,28440
1924,MS,MS0440081,EAST LOWNDES W/A A EAST-OLD YORKVILLE,Medium,1872,0,0.0,0,0,3.0,1869,0,1872,440,28,28440
1925,MS,MS0440100,EAST LOWNDES #4-HERMAN-VAUGHN,Medium,2287,0,0.0,0,0,2.0,2285,0,2287,440,28,28440
1926,MS,MS0450002,BEAR CREEK W/A -EAST,Medium,40,0,0.0,0,0,40.0,0,0,40,450,28,28450
1927,MS,MS0450007,EAST MADISON WATER ASSN-WEST,Medium,2780,0,0.0,0,0,2780.0,0,0,2780,450,28,28450
1928,MS,MS0450010,CITY OF MADISON,Medium,5850,0,0.0,0,0,5850.0,0,0,5850,450,28,28450
1929,MS,MS0450021,BEAR CREEK W/A-WEST,Medium,10938,0,0.0,0,0,10938.0,0,0,10938,450,28,28450
1930,MS,MS0470002,CITY OF HOLLY SPRINGS,Medium,3635,0,0.0,0,0,0.0,0,3635,3635,470,28,28470
1931,MS,MS0470105,MARSHALL CO WATER ASSN,Medium,1479,0,0.0,0,0,0.0,0,1479,1479,470,28,28470
1932,MS,MS0480002,CITY OF AMORY,Medium,90,0,20.0,20,50,0.0,0,0,90,480,28,28480
1933,MS,MS0490010,CITY OF WINONA,Medium,1952,0,0.0,0,0,0.0,1952,0,1952,490,28,28490
1934,MS,MS0500004,CENTRAL W/A-EAST SIDE,Medium,2377,0,0.0,0,0,2377.0,0,0,2377,500,28,28500
1935,MS,MS0530006,CLAYTON VILLAGE W/A #1-EAST,Medium,1620,0,0.0,0,0,0.0,1620,0,1620,530,28,28530
1936,MS,MS0530012,MS STATE UNIVERSITY,Medium,310,25,25.0,25,0,235.0,0,0,310,530,28,28530
1937,MS,MS0530020,CITY OF STARKVILLE,Medium,14987,20,0.0,0,0,3200.0,11767,0,14987,530,28,28530
1938,MS,MS0550004,"PICAYUNE UTILITIES, CITY OF",Medium,5380,0,0.0,0,500,4500.0,380,0,5380,550,28,28550
1939,MS,MS0550005,PEARL RIVER CENTRAL W/A,Medium,4110,0,0.0,0,0,0.0,0,4110,4110,550,28,28550
1940,MS,MS0570004,CITY OF MCCOMB,Medium,4,4,0.0,0,0,0.0,0,0,4,570,28,28570
1941,MS,MS0570014,SUNNYHILL WATER ASSOCIATION,Medium,1425,0,0.0,0,0,0.0,0,1425,1425,570,28,28570
1942,MS,MS0580002,EAST PONTOTOC WATER ASSN,Medium,1357,0,0.0,0,0,0.0,1357,0,1357,580,28,28580
1943,MS,MS0580004,OAK HILL WATER ASSN,Medium,1644,0,0.0,0,0,0.0,1644,0,1644,580,28,28580
1944,MS,MS0590002,BIG V WATER ASSOCIATION,Medium,1382,0,0.0,0,0,0.0,0,1382,1382,590,28,28590
1945,MS,MS0590014,WHEELER-FRANKSTOWN WATER ASSN,Medium,1558,0,0.0,0,0,0.0,1558,0,1558,590,28,28590
1946,MS,MS0610012,LANGFORD WATER ASSOCIATION,Medium,1437,0,0.0,0,0,0.0,0,1437,1437,610,28,28610
1947,MS,MS0610017,CITY OF PEARL,Medium,11928,0,0.0,0,0,0.0,0,11928,11928,610,28,28610
1948,MS,MS0610044,CITY OF FLOWOOD - NORANCO,Medium,1497,0,0.0,0,0,0.0,0,1497,1497,610,28,28610
1949,MS,MS0620011,STEELE-RINGGOLD W/A #1,Medium,1121,0,0.0,0,0,0.0,0,1121,1121,620,28,28620
1950,MS,MS0640014,SMITHS CROSSING WATER ASSN,Medium,1700,0,0.0,0,0,1700.0,0,0,1700,640,28,28640
1951,MS,MS0640022,OKATOMA WATER ASSOCIATION #2,Medium,2400,0,0.0,0,0,0.0,0,2400,2400,640,28,28640
1952,MS,MS0690005,CITY OF SENATOBIA,Medium,3640,0,0.0,0,0,0.0,0,3640,3640,690,28,28690
1953,MS,MS0700008,CITY OF RIPLEY,Medium,4105,0,0.0,0,20,4085.0,0,0,4105,700,28,28700
1954,MS,MS0710006,CITY OF IUKA,Medium,2941,0,0.0,0,0,0.0,2941,0,2941,710,28,28710
1955,MS,MS0720024,TUNICA COUNTY UTILITY DISTRICT,Medium,2900,0,0.0,0,0,2900.0,0,0,2900,720,28,28720
1956,MS,MS0740004,"LEXIE WATER ASSOCIATION, INC.",Medium,1620,0,0.0,0,0,1620.0,0,0,1620,740,28,28740
1957,MS,MS0740076,MAGEES CREEK W/A-NORTH,Medium,2757,0,0.0,0,0,2757.0,0,0,2757,740,28,28740
1958,MS,MS0750004,FISHER FERRY WATER DISTRICT,Medium,1966,0,0.0,0,0,0.0,0,1966,1966,750,28,28750
1959,MS,MS0750010,CITY OF VICKSBURG,Medium,11075,0,0.0,0,0,0.0,0,11075,11075,750,28,28750
1960,MS,MS0760004,CITY OF GREENVILLE,Medium,12000,0,0.0,0,0,0.0,12000,0,12000,760,28,28760
1961,MS,MS0760006,CITY OF LELAND,Medium,1711,0,0.0,0,0,0.0,1711,0,1711,760,28,28760
1962,MS,MS0780005,CITY OF EUPORA,Medium,2087,0,0.0,0,0,0.0,2087,0,2087,780,28,28780
1963,MS,MS0810011,CITY OF WATER VALLEY,Medium,1632,0,0.0,0,0,0.0,1632,0,1632,810,28,28810
1964,MS,MS0820014,CITY OF YAZOO CITY,Medium,5218,0,0.0,0,0,4.0,5214,0,5218,820,28,28820
1965,MT,MT0000016,ANACONDA WATER DEPARTMENT,Medium,2499,0,0.0,0,0,2499.0,0,0,2499,000,30,30000
1966,MT,MT0000062,OUTBACK MOBILE HOME SETTLEMENT,Small,32,0,0.0,0,0,0.0,32,0,32,000,30,30000
1967,MT,MT0000078,STILLWATER WATER DISTRICT,Small,19,0,0.0,0,0,0.0,19,0,19,000,30,30000
1968,MT,MT0000153,BILLINGS  CITY OF,Large,31536,0,0.0,0,0,0.0,0,31536,31536,000,30,30000
1969,MT,MT0000155,CO WATER DIST OF BILLINGS HEIGHTS,Medium,5625,0,0.0,0,0,5625.0,0,0,5625,000,30,30000
1970,MT,MT0000161,BOZEMAN  CITY OF,Medium,13984,1,0.0,15,0,0.0,13968,0,13984,000,30,30000
1971,MT,MT0000170,BUTTE SILVERBOW WATER DEPT,Medium,12464,0,0.0,0,0,0.0,0,12464,12464,000,30,30000
1972,MT,MT0000181,COLUMBIA FALLS  CITY OF,Medium,2127,0,0.0,0,0,0.0,2127,0,2127,000,30,30000
1973,MT,MT0000201,DILLON  CITY OF,Medium,1769,0,0.0,0,0,0.0,1769,0,1769,000,30,30000
1974,MT,MT0000229,GLENDIVE  CITY OF,Medium,2209,341,0.0,0,0,0.0,1868,0,2209,000,30,30000
1975,MT,MT0000241,HELENA WATER SYSTEM,Medium,11646,0,0.0,0,0,0.0,11646,0,11646,000,30,30000
1976,MT,MT0000253,HUNGRY HORSE CO WATER AND SEWER DISTRICT,Small,351,0,0.0,0,0,351.0,0,0,351,000,30,30000
1977,MT,MT0000259,KALISPELL PUBLIC WORKS,Medium,8579,100,0.0,0,0,5479.0,3000,0,8579,000,30,30000
1978,MT,MT0000262,BIGFORK COUNTY WATER AND SEWER,Small,1432,0,0.0,0,0,0.0,1432,0,1432,000,30,30000
1979,MT,MT0000271,LEWISTOWN  CITY OF,Medium,2873,0,0.0,0,0,0.0,2873,0,2873,000,30,30000
1980,MT,MT0000274,LIBBY  CITY OF,Medium,2046,0,0.0,0,0,0.0,0,2046,2046,000,30,30000
1981,MT,MT0000291,MILES CITY CITY OF,Medium,3849,50,380.0,140,340,2889.0,50,0,3849,000,30,30000
1982,MT,MT0000294,MISSOULA WATER,Medium,15850,0,0.0,0,6600,0.0,9250,0,15850,000,30,30000
1983,MT,MT0000327,SEELEY LAKE WATER DISTRICT,Small,750,0,0.0,0,0,750.0,0,0,750,000,30,30000
1984,MT,MT0000328,SHELBY  CITY OF,Medium,1282,0,0.0,0,0,0.0,1282,0,1282,000,30,30000
1985,MT,MT0000452,CIRCLE J TRAILER COURT,Small,26,0,0.0,0,0,26.0,0,0,26,000,30,30000
1986,MT,MT0000518,SORREL SPRINGS HOA,Small,96,0,0.0,0,0,96.0,0,0,96,000,30,30000
1987,MT,MT0000525,GREAT FALLS  CITY OF,Medium,21257,0,0.0,0,0,0.0,0,21257,21257,000,30,30000
1988,MT,MT0001672,MORNING STAR,Small,42,0,0.0,0,0,0.0,42,0,42,001,30,30001
1989,MT,MT0003215,MONTANA TRAILER COURT,Small,29,0,0.0,0,0,29.0,0,0,29,003,30,30003
1990,MT,MT0003643,LDS CHURCH  LOLO,Small,1,0,0.0,0,0,0.0,0,1,1,003,30,30003
1991,MT,MT0004083,WETTINGTON WATER DISTRICT INC,Small,66,0,0.0,0,0,0.0,66,0,66,004,30,30004
1992,MT,MT0004157,MISSOULA COUNTY FAIRGROUNDS,Medium,15,0,0.0,0,0,15.0,0,0,15,004,30,30004
1993,MT,MT0004204,UNIVERSITY OF MONTANA,Medium,67,0,0.0,0,0,67.0,0,0,67,004,30,30004
1994,MT,MT0004350,J NEILS MEMORIAL PARK,Small,4,0,0.0,0,0,0.0,4,0,4,004,30,30004
1995,MT,MT0004530,MEADOW BROOK PARK,Small,33,0,0.0,0,0,33.0,0,0,33,004,30,30004
1996,MT,MT0004600,FORTRESS OF JOY CHURCH,Small,1,0,0.0,0,0,0.0,1,0,1,004,30,30004
1997,MT,MT0004790,MONTANA STATE UNIVERSITY BOZEMAN,Medium,282,0,0.0,0,0,0.0,0,282,282,004,30,30004
1998,MT,MT0004973,GAS LIGHT VILLAGE LLC UNAPPROVED,Small,17,0,0.0,0,0,0.0,0,17,17,004,30,30004
1999,NC,NC0111010,ASHEVILLE CITY OF,Large,63468,200,11115.0,43,0,20779.0,31331,0,63468,111,37,37111
2000,NC,NC0112015,MORGANTON CITY OF,Medium,13249,0,4418.0,0,0,8770.0,61,0,13249,112,37,37112
2001,NC,NC0113010,"CONCORD, CITY OF",Large,45880,0,1000.0,0,0,35900.0,8980,0,45880,113,37,37113
2002,NC,NC0118010,HICKORY CITY OF,Large,29140,0,1305.0,0,0,22313.0,5522,0,29140,118,37,37118
2003,NC,NC0123055,CLEVELAND COUNTY WATER,Medium,21668,0,0.0,0,0,21668.0,0,0,21668,123,37,37123
2004,NC,NC0136010,TWO RIVERS UTILITIES,Large,34568,0,500.0,0,100,8083.0,25885,0,34568,136,37,37136
2005,NC,NC0144015,"CANTON, TOWN OF",Medium,3632,0,1500.0,727,0,0.0,1405,0,3632,144,37,37144
2006,NC,NC0145010,"HENDERSONVILLE, CITY OF",Medium,32714,88,0.0,0,0,21994.0,10632,0,32714,145,37,37145
2007,NC,NC0149185,HARBOUR POINT S/D,Medium,1594,0,0.0,0,0,1594.0,0,0,1594,149,37,37149
2008,NC,NC0156025,"OLD FORT, TOWN OF",Small,750,0,0.0,0,0,0.0,0,750,750,156,37,37156
2009,NC,NC0156112,SWISS VILLAGE WTR SYSTEM,Small,57,0,0.0,0,0,57.0,0,0,57,156,37,37156
2010,NC,NC0156125,DEER PARK HEALTH & REHAB.,Small,1,0,0.0,0,0,1.0,0,0,1,156,37,37156
2011,NC,NC0160010,CHARLOTTE WATER,Large,315372,2100,2000.0,0,45100,264896.0,1276,0,315372,160,37,37160
2012,NC,NC0161010,"SPRUCE PINE, TOWN OF",Medium,2229,0,44.0,0,0,1520.0,665,0,2229,161,37,37161
2013,NC,NC0180010,SALISBURY-ROWAN,Medium,20480,0,7000.0,0,0,3085.0,10395,0,20480,180,37,37180
2014,NC,NC0180065,"KANNAPOLIS, CITY OF",Medium,21191,0,0.0,2402,310,13129.0,5350,0,21191,180,37,37180
2015,NC,NC0181035,BROAD RIVER WATER AUTHORITY,Medium,6924,0,1800.0,0,800,2839.0,1485,0,6924,181,37,37181
2016,NC,NC0181484,GREEN HILL BAPTIST CHURCH,Small,1,0,0.0,0,0,1.0,0,0,1,181,37,37181
2017,NC,NC0184010,"ALBEMARLE, CITY OF",Medium,8102,0,250.0,0,0,6252.0,1600,0,8102,184,37,37184
2018,NC,NC0184015,"NORWOOD, TOWN OF",Medium,1866,100,91.0,472,100,794.0,309,0,1866,184,37,37184
2019,NC,NC0188010,"BREVARD, CITY OF",Medium,4754,0,95.0,15,0,2853.0,1791,0,4754,188,37,37188
2020,NC,NC0190010,"MONROE, CITY OF",Medium,14689,0,73.0,0,0,10070.0,4546,0,14689,190,37,37190
2021,NC,NC0190413,UNION COUNTY WATER SYSTEM,Large,62976,0,0.0,0,0,43741.0,19235,0,62976,190,37,37190
2022,NC,NC0197015,MULBERRY-FAIRPLAINS WTR ASSOC,Medium,2656,0,80.0,0,0,1809.0,767,0,2656,197,37,37197
2023,NC,NC0201010,"BURLINGTON, CITY OF",Medium,27000,0,400.0,0,0,11970.0,14630,0,27000,201,37,37201
2024,NC,NC0229025,DAVIDSON WATER INC,Large,65826,0,0.0,0,0,65826.0,0,0,65826,229,37,37229
2025,NC,NC0229035,HANDY SANITARY DISTRICT,Medium,3280,0,0.0,0,0,3280.0,0,0,3280,229,37,37229
2026,NC,NC0234010,"WINSTON-SALEM, CITY OF",Large,144748,6240,8611.0,6656,1248,64584.0,57409,0,144748,234,37,37234
2027,NC,NC0241010,"GREENSBORO, CITY OF",Large,108786,0,382.0,0,0,0.0,108404,0,108786,241,37,37241
2028,NC,NC0241020,"HIGH POINT, CITY OF",Large,44736,0,2237.0,0,3,16167.0,26329,0,44736,241,37,37241
2029,NC,NC0279020,"REIDSVILLE, CITY OF",Medium,7934,0,47.0,50,450,2467.0,4920,0,7934,279,37,37279
2030,NC,NC0286010,"MOUNT AIRY, CITY OF",Medium,6743,0,271.0,0,403,2024.0,4045,0,6743,286,37,37286
2031,NC,NC0291010,HENDERSON-KERR LAKE REG WTR,Medium,9490,534,1372.0,0,277,2218.0,5089,0,9490,291,37,37291
2032,NC,NC0293015,WARREN COUNTY WATER SYSTEM,Medium,5550,0,0.0,0,0,5550.0,0,0,5550,293,37,37293
2033,NC,NC0304010,ANSON COUNTY WATER SYSTEM,Large,5492,0,0.0,0,0,2500.0,2992,0,5492,304,37,37304
2034,NC,NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,Large,101326,0,7000.0,8000,0,30000.0,56326,0,101326,326,37,37326
2035,NC,NC0326020,"SPRING LAKE, TOWN OF",Medium,5150,0,400.0,0,0,2410.0,2340,0,5150,326,37,37326
2036,NC,NC0332010,"DURHAM, CITY OF",Large,108637,0,14000.0,34,0,59352.0,35251,0,108637,332,37,37332
2037,NC,NC0343010,"DUNN, CITY OF",Medium,4825,0,478.0,0,0,2704.0,1643,0,4825,343,37,37343
2038,NC,NC0343045,HARNETT REGIONAL WATER,Large,47501,0,0.0,0,0,0.0,47501,0,47501,343,37,37343
2039,NC,NC0347025,HOKE CO REGIONAL WATER SYSTEM,Medium,10127,0,0.0,0,0,10127.0,0,0,10127,347,37,37347
2040,NC,NC0351070,JOHNSTON CO-WEST,Large,40012,0,0.0,0,0,40012.0,0,0,40012,351,37,37351
2041,NC,NC0353101,CAROLINA TRACE WATER SYSTEM,Medium,1702,0,0.0,0,0,1702.0,0,0,1702,353,37,37353
2042,NC,NC0363117,MOORE CO PUBLIC UTIL-SEVEN LAK,Medium,2798,0,0.0,0,0,2798.0,0,0,2798,363,37,37363
2043,NC,NC0378035,"MAXTON, TOWN OF",Medium,1335,0,0.0,0,0,1321.0,14,0,1335,378,37,37378
2044,NC,NC0378055,ROBESON COUNTY WATER SYSTEM,Medium,26191,0,0.0,0,0,26191.0,0,0,26191,378,37,37378
2045,NC,NC0383010,"LAURINBURG, CITY OF",Medium,7200,0,0.0,0,0,0.0,7200,0,7200,383,37,37383
2046,NC,NC0392010,"RALEIGH, CITY OF",Large,212453,0,15231.0,0,0,118991.0,78231,0,212453,392,37,37392
2047,NC,NC0392020,"CARY, TOWN OF",Large,76232,0,0.0,5,0,69701.0,6526,0,76232,392,37,37392
2048,NC,NC0392045,"APEX, TOWN OF",Medium,27704,113,169.0,0,0,13849.0,13573,0,27704,392,37,37392
2049,NC,NC0392050,"HOLLY SPRINGS, TOWN OF",Medium,16805,0,15.0,0,0,16790.0,0,0,16805,392,37,37392
2050,NC,NC0392228,PLEASANT HILL MOBILE ESTATES,Small,25,0,0.0,0,0,25.0,0,0,25,392,37,37392
2051,NC,NC0392298,STONEHENGE S/D,Small,738,0,0.0,0,0,114.0,624,0,738,392,37,37392
2052,NC,NC0410045,BRUNSWICK COUNTY WATER SYSTEM,Large,62375,0,2500.0,0,899,46719.0,12257,0,62375,410,37,37410
2053,NC,NC0416010,"BEAUFORT, TOWN OF",Medium,4134,0,807.0,0,0,1829.0,1498,0,4134,416,37,37416
2054,NC,NC0427010,CURRITUCK COUNTY WATER SYSTEM,Medium,7009,0,0.0,0,0,0.0,0,7009,7009,427,37,37427
2055,NC,NC0428030,DARE COUNTY WATER SYSTEM,Large,15286,0,0.0,0,0,11017.0,4269,0,15286,428,37,37428
2056,NC,NC0431010,"WALLACE, TOWN OF",Medium,2404,0,20.0,1969,0,215.0,200,0,2404,431,37,37431
2057,NC,NC0431015,"WARSAW, TOWN OF",Small,1506,0,0.0,0,0,1450.0,56,0,1506,431,37,37431
2058,NC,NC0431025,"ROSE HILL, TOWN OF",Small,935,0,0.0,0,0,0.0,935,0,935,431,37,37431
2059,NC,NC0431035,"MAGNOLIA, TOWN OF",Small,466,0,17.0,0,0,428.0,21,0,466,431,37,37431
2060,NC,NC0431040,"FAISON, TOWN OF",Small,555,0,20.0,0,0,535.0,0,0,555,431,37,37431
2061,NC,NC0431044,"TEACHEY, TOWN OF",Small,245,0,0.0,0,0,245.0,0,0,245,431,37,37431
2062,NC,NC0431103,MISSION PARK B&L TRAILER COURT,Small,26,0,0.0,0,0,26.0,0,0,26,431,37,37431
2063,NC,NC0440020,"HOOKERTON, TOWN OF",Small,282,14,41.0,44,46,109.0,28,0,282,440,37,37440
2064,NC,NC0440030,"WALSTONBURG, TOWN OF",Small,128,19,0.0,0,62,0.0,47,0,128,440,37,37440
2065,NC,NC0440105,SOUTH GREENE WTR CORP,Small,1037,0,0.0,0,0,1037.0,0,0,1037,440,37,37440
2066,NC,NC0448020,OCRACOKE SANITARY DISTRICT,Medium,1288,0,0.0,0,0,1288.0,0,0,1288,448,37,37448
2067,NC,NC0454030,DEEP RUN WATER CORPORATION,Medium,5364,0,0.0,0,0,5364.0,0,0,5364,454,37,37454
2068,NC,NC0454109,GREEN ACRES MHP,Small,83,0,0.0,0,0,83.0,0,0,83,454,37,37454
2069,NC,NC0454127,JACKSON HEIGHTS MHP,Small,57,0,0.0,0,0,0.0,0,57,57,454,37,37454
2070,NC,NC0464010,"ROCKY MOUNT, CITY OF",Medium,25304,0,8582.0,100,0,5909.0,10713,0,25304,464,37,37464
2071,NC,NC0464020,"NASHVILLE, TOWN OF",Medium,3000,0,800.0,200,0,1500.0,500,0,3000,464,37,37464
2072,NC,NC0464493,OAK LEVEL MAINTENANCE OFFICE,Small,3,0,0.0,0,0,3.0,0,0,3,464,37,37464
2073,NC,NC0464531,STONY HILL FWB CHURCH,Small,4,0,0.0,0,0,0.0,4,0,4,464,37,37464
2074,NC,NC0465010,CFPUA-WILMINGTON,Large,73500,0,1250.0,250,0,55000.0,17000,0,73500,465,37,37465
2075,NC,NC0465232,CFPUA/NHC,Medium,14197,0,0.0,0,0,14197.0,0,0,14197,465,37,37465
2076,NC,NC0466108,NORTHAMPTON--MILWAUKEE,Medium,2552,0,0.0,0,0,0.0,0,2552,2552,466,37,37466
2077,NC,NC0467010,JACKSONVILLE CITY OF,Medium,19196,0,1070.0,308,0,13553.0,4265,0,19196,467,37,37467
2078,NC,NC0467035,ONSLOW WTR AND SEWER AUTHORITY,Large,56111,0,58.0,0,1300,54253.0,500,0,56111,467,37,37467
2079,NC,NC0469025,PAMLICO COUNTY WATER,Medium,7742,0,0.0,0,0,7742.0,0,0,7742,469,37,37469
2080,NC,NC0470010,"ELIZABETH CITY, CITY OF",Medium,8176,0,977.0,20,0,1240.0,5939,0,8176,470,37,37470
2081,NC,NC0474010,GREENVILLE UTILITIES COMM,Large,52051,0,87.0,0,0,27187.0,24777,0,52051,474,37,37474
2082,NC,NC0474020,"FARMVILLE, TOWN OF",Medium,3555,0,82.0,15,500,1201.0,1757,0,3555,474,37,37474
2083,NC,NC0474407,LIVE OAK FWB CHURCH,Small,1,0,0.0,0,0,0.0,1,0,1,474,37,37474
2084,NC,NC0496045,SOUTHERN WAYNE SANITARY DIST,Medium,3084,0,0.0,0,0,3084.0,0,0,3084,496,37,37496
2085,NC,NC0496065,WAYNE WATER DISTRICTS,Medium,19956,0,0.0,0,0,19956.0,0,0,19956,496,37,37496
2086,NC,NC1056013,SUNSET POINT S/D,Small,12,0,0.0,0,0,0.0,0,12,12,056,37,37056
2087,NC,NC1056031,BLACK BEAR DEVELOPMENT,Small,135,0,0.0,0,0,135.0,0,0,135,056,37,37056
2088,NC,NC1056032,MCDOWELL CO--NEBO,Small,337,0,0.0,0,0,337.0,0,0,337,056,37,37056
2089,NC,NC2060095,RURAL HILLS CULTURAL CENTER,Small,1,0,0.0,0,0,0.0,0,1,1,060,37,37060
2090,NC,NC3076010,PIEDMONT TRIAD REGIONAL,Large,6,0,0.0,0,0,6.0,0,0,6,076,37,37076
2091,NC,NC4092034,WYNTREE S/D,Small,18,0,0.0,0,0,6.0,12,0,18,092,37,37092
2092,NC,NC4092073,ROCKBRIDGE S/D,Small,410,0,0.0,0,0,0.0,0,410,410,092,37,37092
2093,NC,NC4092084,HAMPTON PARK SD,Small,83,0,0.0,0,0,21.0,62,0,83,092,37,37092
2094,NC,NC4092087,WHITECROFT MANOR S/D,Small,45,0,0.0,0,0,8.0,37,0,45,092,37,37092
2095,NC,NC6040000,SHINE WATER CORPORATION,Small,166,0,0.0,0,0,166.0,0,0,166,040,37,37040
2096,NC,NC6054001,NEUSE REGIONAL WTR & SWR AUTH,Large,14,0,0.0,0,0,14.0,0,0,14,054,37,37054
2097,NC,NC7024007,COLUMBUS CO WATER DISTRICT II,Medium,3115,0,0.0,0,0,3115.0,0,0,3115,024,37,37024
2098,ND,ND0100476,HETTINGER CITY OF,Small,666,0,0.0,0,0,0.0,666,0,666,100,38,38100
2099,ND,ND0100812,REEDER CITY OF,Small,102,0,0.0,0,0,0.0,102,0,102,100,38,38100
2100,ND,ND0200747,NOME CITY OF,Small,46,0,0.0,0,0,0.0,46,0,46,200,38,38200
2101,ND,ND0200858,SANBORN CITY OF,Small,97,0,0.0,0,0,97.0,0,0,97,200,38,38200
2102,ND,ND0200882,SIBLEY CITY OF,Small,45,0,0.0,0,0,45.0,0,0,45,200,38,38200
2103,ND,ND0200958,VALLEY CITY CITY OF,Medium,3230,0,0.0,0,0,0.0,0,3230,3230,200,38,38200
2104,ND,ND0201058,BARNES RURAL WATER DISTRICT,Medium,1975,0,0.0,0,0,0.0,0,1975,1975,201,38,38201
2105,ND,ND0410678,COTTONWOOD CAMPGROUND 6,Small,26,0,0.0,0,19,7.0,0,0,26,410,38,38410
2106,ND,ND0600119,BOWMAN CITY OF,Small,867,0,0.0,0,0,867.0,0,0,867,600,38,38600
2107,ND,ND0600819,RHAME CITY OF,Small,90,0,0.0,0,0,0.0,90,0,90,600,38,38600
2108,ND,ND0600869,SCRANTON CITY OF,Small,198,0,0.0,0,0,0.0,198,0,198,600,38,38600
2109,ND,ND0800080,BISMARCK CITY OF,Medium,29319,4412,4412.0,0,0,16083.0,4412,0,29319,800,38,38800
2110,ND,ND0801154,SOUTH CENTRAL REGIONAL WATER DISTRICT,Medium,1750,0,0.0,0,0,0.0,0,1750,1750,801,38,38801
2111,ND,ND0801502,SOUTH CENTRAL RWD NORTH BURLEIGH,Medium,4780,0,0.0,0,0,0.0,0,4780,4780,801,38,38801
2112,ND,ND0900336,FARGO CITY OF,Large,29913,1500,0.0,0,0,28413.0,0,0,29913,900,38,38900
2113,ND,ND0900999,WEST FARGO CITY OF,Medium,11332,2,2.0,0,0,11328.0,0,0,11332,900,38,38900
2114,ND,ND0901060,CASS RURAL WATER DISTRICT-PHASE I,Medium,1407,0,0.0,0,0,0.0,0,1407,1407,901,38,38901
2115,ND,ND0901483,CASS RURAL WATER DISTRICT FARGO,Medium,1697,0,0.0,0,0,0.0,0,1697,1697,901,38,38901
2116,ND,ND1001380,NORTHEAST RWD-LANGDON BRANCH,Medium,980,0,0.0,0,0,0.0,0,980,980,001,38,38001
2117,ND,ND1101442,SOUTHEAST WUD (WEST),Medium,600,0,0.0,0,0,600.0,0,0,600,101,38,38101
2118,ND,ND1501653,SOUTH CENTRAL RWD-EMMONS,Medium,1780,0,0.0,0,0,0.0,0,1780,1780,501,38,38501
2119,ND,ND1800410,GRAND FORKS CITY OF,Medium,15346,929,0.0,17,0,14400.0,0,0,15346,800,38,38800
2120,ND,ND1801056,AGASSIZ WATER USERS DISTRICT,Medium,1375,0,0.0,0,0,0.0,0,1375,1375,801,38,38801
2121,ND,ND1801062,EAST CENTRAL REGIONAL WD-GF,Medium,2500,0,0.0,0,0,0.0,0,2500,2500,801,38,38801
